result	result_sigma	m	seed	weeks	trials	mean	sigma	error	p1	p2	p3	p4	p5
0.067459685	9.8541528e-05	1	1	30000000	25	-0.5	0.7	8	0.4710500694982455	13.826341148453476	0.4886860860554907	1.0260605959195344	2.4817814242343084
1.8453773	0.0021168621	1	1	20000000	25	-0.5	1.5	16	0.3550306608035572	9.925363163465047	0.279906163934315	0.9997685083661212	2.8866900192067253
1.9387833	0.0022020133	1	1	30000000	25	-0.5	1.5	22	0.3272609004782249	12.239325507186404	0.27584494653707825	1.007410406906477	2.3755693855192694
2.0269617	0.0039079971	1	1	20000000	25	-0.5	1.5	32	0.2293695499047543	22.506322946580664	0.28066936963288447	1.0458958626652908	2.502296991265435
1.1358929	0.00033604742	1	1	20000000	25	-0.5	1.5	4	0.3012464382906251	13.493136511397793	0.2218590572194092	1.369573899074162	2.2122562578054126
1.3909984	0.00066436454	1	1	20000000	25	-0.5	1.5	6	0.2494613818676254	20.151824808488698	0.24841226257527713	1.005899650283801	1.7733029532293836
1.5508312	0.00074787753	1	1	20000000	25	-0.5	1.5	8	0.2655754426601172	18.151913517525436	0.2565278259352789	1.0495414909876555	2.0961239857745917
0.34975518	0.00065624378	1	1	20000000	25	-0.5	1	16	0.4458716049286736	10.169427863787137	0.40039962343038216	1.0306341762021063	2.6360731273484372
0.18644977	4.9769365e-05	1	1	20000000	25	-0.5	1	2	0.46495769690144306	8.09216069834791	0.2944772200046635	0.9534487446663278	2.847996876031659
0.35990668	0.00099150413	1	1	20000000	25	-0.5	1	22	0.5013781065616664	8.315591771337356	0.3731027038221339	1.0238057501014288	3.3596007157348615
0.36859825	0.0010358564	1	1	20000000	25	-0.5	1	32	0.2709187449201902	20.162086953363094	0.35606646252738666	1.0701846918868942	2.2789270305735103
0.26304769	0.0001488924	1	1	20000000	25	-0.5	1	4	0.4622333311564346	9.061248946512936	0.3395010187477391	1.0171352213544766	2.3847070384298115
0.29757057	0.0001907633	1	1	20000000	25	-0.5	1	6	0.3285849379163332	18.526505334760287	0.3560851551552605	1.0449518770664774	1.9989364704503152
0.31727383	0.00031852914	1	1	20000000	25	-0.5	1	8	0.292969580043389	21.744612739361862	0.365491118629708	1.0190101805697567	2.246554299677465
0.21080507	0.00047478281	1	1	20000000	25	-0.7	1	16	0.44635994186373407	14.386896539864598	0.46965748162804327	1.0016490753942198	2.421317418099836
0.21608179	0.00071648744	1	1	20000000	25	-0.7	1	22	0.4133446106448864	17.807138219558112	0.47892890723321335	1.0186178717524417	2.339648083977865
0.22024922	0.00090116418	1	1	20000000	25	-0.7	1	32	0.5018365504394925	12.853709177660338	0.4864446939633664	1.011822520461021	2.7831852458438613
0.16353742	0.00010409392	1	1	20000000	25	-0.7	1	4	0.43013653570620397	14.347036061459834	0.43038988563544067	1.0533588596042107	2.9030617056107535
0.19341879	0.00021287729	1	1	20000000	25	-0.7	1	8	0.484118155173778	12.435145293106979	0.4688214547585898	1.001655840245497	2.4929757890720676
3.845741	0.0025717468	1	1	20000000	25	-0.7	2	15	0.5098929069855342	4.150723681016109	0.2704945236843427	0.012336491879646187	0.0007792938431560625
3.0759476	0.0021961922	1	1	10000000	25	-0.85	2	15	0.8952740896254046	0.4299555634274519	0.32493851977026056	0.31032610768194446	-3.724577618085002e-05
0.16653744	0.00044777173	1	1	10000000	25	-0.8	1	16	0.5325483095640643	12.674591595493084	0.5469034524471809	1.012398917387801	2.11022773671254
0.096062286	3.1896406e-05	1	1	10000000	25	-0.8	1	2	0.6347404914155359	6.6063780690972065	0.43796671718439967	1.4478364654936189	-0.055585230299742536
0.17019879	0.00051491926	1	1	10000000	25	-0.8	1	22	0.520243258787338	12.14513441621779	0.530453189832756	1.006145446827805	2.6782961190248775
0.17435791	0.00081219118	1	1	10000000	25	-0.8	1	32	0.45373377956025523	15.363204336046863	0.5593528167837585	1.0326088628557244	1.8085595673472719
0.130751	7.6362805e-05	1	1	10000000	25	-0.8	1	4	0.436595429096867	16.40168351543351	0.4797396937702548	1.0125141078124003	3.370624565824719
0.15329487	0.00014160669	1	1	10000000	25	-0.8	1	8	0.5097068687463405	12.956551417905496	0.5090423339019757	1.0356770779665596	2.3282345918513476
0.13313747	0.00034946705	1	1	10000000	25	-0.9	1	16	0.5684262519085452	11.981735508905313	0.5653492495269272	1.010575558882162	2.2900879473795266
0.13614226	0.0004522862	1	1	10000000	25	-0.9	1	22	0.6283338192550938	10.50997416936374	0.5603872486348245	1.058494110152648	2.282666930609239
0.13928343	0.0007143722	1	1	10000000	25	-0.9	1	32	0.6062349078031464	10.635057337755118	0.57250394131835	0.9777817650704534	2.191901318378715
0.10504377	6.8801134e-05	1	1	10000000	25	-0.9	1	4	0.4905671747000579	15.594303927580267	0.5140146853992336	0.9971821187155763	2.105034708143595
0.12289932	0.00013016697	1	1	10000000	25	-0.9	1	8	0.5704587915151258	11.563293438072181	0.5354658901919336	1.0580999866849077	2.2468734680703704
0.086442522	0.00023521399	1	1	10000000	25	-1.1	1	16	0.6035804622806128	12.741692436233963	0.6514378149567043	1.0086719980284973	1.9516707209973059
0.088180597	0.00031857583	1	1	10000000	25	-1.1	1	22	0.6488379175772343	11.515564151403737	0.6421108210389688	1.1446914578994942	1.7436239267789055
0.08976998	0.0005630382	1	1	10000000	25	-1.1	1	32	0.6167675098578761	10.974828267118756	0.6070094948307267	1.121005385412658	2.639629113000987
0.068683434	5.3422033e-05	1	1	10000000	25	-1.1	1	4	0.5756471337520273	12.927610475270873	0.6131124034095543	1.008087177262313	2.3788620879981144
0.079769552	0.00012074893	1	1	10000000	25	-1.1	1	8	0.6154405804939896	12.307759785685336	0.6299103254436094	1.0859289902034668	1.9784074344246156
0.069988542	0.00020426846	1	1	10000000	25	-1.2	1	16	0.6013948276230309	13.709579919904844	0.6568545262923313	1.000258543054148	1.9573121782043321
0.071133575	0.00031481219	1	1	10000000	25	-1.2	1	22	0.6769056496216452	12.067891275964465	0.7660654520085737	1.0627974929369892	1.8763812433759357
0.072432205	0.00056971623	1	1	10000000	25	-1.2	1	32	0.656879065115991	11.245755652888922	0.7720341204758505	1.098420154799654	1.7623718024673742
0.055688073	5.3033061e-05	1	1	10000000	25	-1.2	1	4	0.9608752118530424	4.41375172387562	0.6478045904102119	1.0009899518262944	2.6020080596442563
0.064571089	0.00010087907	1	1	10000000	25	-1.2	1	8	0.6647905628091323	11.590857495743595	0.6977064382988554	1.0180395839428276	2.0507588684392335
1.939627	0.0017632924	1	1	10000000	25	-1.2	2	15	0.849472269016158	1.3288060561513322	0.40735093613999407	1.4903487656883676	0.0001807269163136108
0.056717495	0.00018754486	1	1	10000000	25	-1.3	1	16	0.6905403988870626	11.659215104859198	0.7281323411323118	0.9877655193054307	2.0836854731578525
0.058089356	0.00025953262	1	1	10000000	25	-1.3	1	22	0.6312324458680809	14.083880852613378	0.7047206531783945	1.018642768263243	2.0625583586195324
0.05849717	0.00049430355	1	1	10000000	25	-1.3	1	32	0.7155172455288574	11.549521256203137	0.8131061476082331	1.026096597127941	1.9717884678730049
0.045162608	4.5788281e-05	1	1	10000000	25	-1.3	1	4	1.0116030865883279	4.190264556013878	0.6899247286029146	1.0519931075497793	2.3530805412532727
0.052351921	7.3057396e-05	1	1	10000000	25	-1.3	1	8	0.664047641378964	12.758817249424252	0.7311294351340984	1.0008978558903734	1.849972982897698
0.037541936	0.00015878037	1	1	10000000	25	-1.5	1	16	0.7364181628908806	11.845600144846186	0.8006412398898609	1.0349237996747704	1.8325162628711915
0.022016705	1.4975317e-05	1	1	10000000	25	-1.5	1	2	0.6755132284079479	12.033137545329287	0.7124475499779116	1.0526161578563733	2.1014037467674926
0.038323968	0.00024172976	1	1	10000000	25	-1.5	1	22	0.7130286347606987	13.377885888790477	0.7965126740439404	1.0141892633400538	1.8770117394151393
0.038509147	0.00044445471	1	1	10000000	25	-1.5	1	32	0.7187213081301373	11.83002863905077	0.8408056825791992	1.024934972153549	1.7098160585131452
0.029631129	3.2204155e-05	1	1	10000000	25	-1.5	1	4	0.6967707508960265	12.048386435587927	0.7484647718851429	1.0218133392788515	2.0054662048471537
0.032704984	5.8362009e-05	1	1	10000000	25	-1.5	1	6	0.6965260546963645	12.583227853805319	0.7574308986999019	1.0063785645138341	1.7772887261306543
0.034381278	7.7152698e-05	1	1	10000000	25	-1.5	1	8	0.714191613465448	12.340854975360092	0.7985995154657706	1.0111825566397799	1.8050730655926828
1.3588815	0.0012538727	1	1	10000000	25	-1.5	2	15	1.0083361487191271	1.5772353925407763	0.4961579369078143	0.7267007151588976	0.00012104054699578887
0.019707705	6.7750336e-05	1	1	10000000	25	-1.8	1	16	0.7629491038123386	12.88624977174304	0.7812809498190765	1.0397552197547748	1.6680685596085731
0.02011858	9.6426043e-05	1	1	10000000	25	-1.8	1	22	0.8526108534993104	11.059032384823592	0.8242942725668585	0.9906901539563723	1.6958565304826618
0.02053335	0.0001452408	1	1	10000000	25	-1.8	1	32	0.8340263034544174	11.25172026465432	0.8351694028144319	0.9319334224227477	1.9001211644132092
0.015575387	1.2960949e-05	1	1	10000000	25	-1.8	1	4	0.7539758942795443	12.214857596500497	0.8448049631783772	1.0951066581082824	1.7081656304306783
0.018219776	3.8882941e-05	1	1	10000000	25	-1.8	1	8	0.7931459538563355	11.880744090765473	0.88734117204728	1.0103724052816465	1.7027807202814664
0.015165017	5.4424436e-05	1	1	20000000	25	-1	0.7	15	1.7811230914038059	0.936899589613932	0.7381840064601215	0.9743629105982057	-0.0001238153495257616
0.015220861	6.4923291e-05	1	1	20000000	25	-1.0	0.7	16	0.7860731960670035	10.779099394447789	0.7498017618810553	1.0155415804063304	1.990280772405757
0.015474664	9.4910525e-05	1	1	20000000	25	-1	0.7	20	1.6944391418346783	0.9806774125521333	0.780840429463713	1.0357909860815726	1.70147352912572e-05
0.015495092	0.00012929033	1	1	20000000	25	-1.0	0.7	22	0.7425446164670741	12.103852127615365	0.7549066940467393	1.003489696699277	1.8432333987553835
0.015668538	0.00015943845	1	1	20000000	25	-1.0	0.7	32	0.6844609714081389	13.834255066288144	0.7944735301086556	1.0209928861139104	1.6421610217349396
0.012963909	2.1325016e-05	1	1	20000000	25	-1.0	0.7	4	0.689555924660689	12.26738596641081	0.7536892184106444	1.1688264060249594	1.7139633344647096
0.013923831	3.2748193e-05	1	1	20000000	25	-1.0	0.7	6	0.7172390052532043	11.753868836883488	0.7496983391929646	1.0286431994211318	1.9914113446426107
0.014470011	3.5667106e-05	1	1	20000000	25	-1.0	0.7	8	0.7128125062165185	12.34743945283411	0.7398923867595962	1.020053716644099	1.8807777107359978
0.045111055	0.00013321618	1	1	20000000	25	-1	0.85	15	1.7224358228661378	0.25522628136490166	0.7294244483810872	0.33451959333407566	5.853367757836639e-05
0.046322042	0.00019499245	1	1	20000000	25	-1	0.85	20	1.6188029720218702	0.6998629267967352	0.6652529812380937	1.0580062125505347	3.151087694383954e-05
0.047341837	0.00035302772	1	1	20000000	25	-1	0.85	30	1.287749178437653	1.9924382347376517	0.6786853227806542	1.0465460823021777	9.613648761036482e-05
0.082093235	0.00016874897	1	1	20000000	25	-1	0.95	15	1.327781590290511	1.5166913752215132	0.6073820793628851	1.0821363301254419	0.00013036997877720113
0.083908653	0.00026149436	1	1	20000000	25	-1	0.95	20	1.4304459431829286	0.9476382748155322	0.6291345997809997	0.7563278541690248	-0.0005064987532979928
0.085517018	0.00046563562	1	1	20000000	25	-1	0.95	30	1.0538690621886722	3.018031116722711	0.570224231880646	0.8159726911983911	-0.0005446793743836907
0.096549876	0.00021385357	1	1	20000000	25	-1	0.98	15	1.2135862676277895	1.930372778254478	0.5988944168329078	1.0192435643043463	-0.0002807805802223285
0.098280733	0.00036782851	1	1	20000000	25	-1	0.98	20	0.9688449305143148	3.622207413702406	0.5952384205815482	1.060605787370342	-0.00010666557216341757
0.10061891	0.00047178904	1	1	20000000	25	-1	0.98	30	1.1921826587433833	1.9160031540705829	0.6190105849076338	0.7206536170189077	-0.001723610193154891
0.17194692	0.00040094954	1	1	20000000	25	-1	1.1	15	0.9743884807541248	2.832272274322241	0.5600041771667065	0.7757611476598831	-0.0002351465915275936
0.17610552	0.00042584635	1	1	20000000	25	-1	1.1	20	1.3924878394091333	0.31048778870018084	0.5780530143263878	0.4137904777696686	0.000470383870905803
0.17942838	0.00072114296	1	1	20000000	25	-1	1.1	30	1.2626916120708827	1.4087501070000041	0.5734252898148023	0.8973419871777398	-0.00036213568565085226
0.26116367	0.00042616346	1	1	20000000	25	-1	1.2	15	0.8305564380656476	4.205784799428174	0.5257476320513784	1.0990604036113243	6.530550352855778e-05
0.26860954	0.00066186849	1	1	20000000	25	-1	1.2	20	1.2665876726058791	0.25616198822206443	0.5149148776855192	0.8274143435399164	0.0004487171115704557
0.2747359	0.00092410869	1	1	20000000	25	-1	1.2	30	1.3494860961827886	0.17807435031893615	0.5163664155865015	0.9004794304136117	0.00024494437456178874
0.380604	0.000527967	1	1	20000000	25	-1	1.3	15	1.2097031270647935	0.6140178135932289	0.5161483775901259	0.2988725223761224	0.00029842002534123777
0.39259	0.0010758627	1	1	20000000	25	-1	1.3	20	1.139763542877954	1.2636615265511222	0.5070155630990707	0.8887315121684256	-1.701057927698319e-05
0.40298587	0.0012203972	1	1	20000000	25	-1	1.3	30	0.8009489824164676	4.556583865102178	0.5322439031986093	1.031087930512011	-0.0002969606954457106
0.73084108	0.0010179449	1	1	20000000	25	-1	1.5	15	0.9214148732216113	1.9580804702669925	0.44874780051250607	1.0392967796746595	-0.00100865396112818
0.73654424	0.0012440119	1	1	20000000	25	-1.0	1.5	16	0.5551345199710238	8.390438074594098	0.45125741491734894	0.9791944300400606	2.82679692513355
0.75574276	0.0012213276	1	1	20000000	25	-1	1.5	20	0.9336126664202139	2.4442042462924887	0.4537183005208203	0.9159133617811064	-0.0025208888638289136
0.76364919	0.0013347879	1	1	20000000	25	-1.0	1.5	22	0.4613809521763136	14.182338356303754	0.47197029286045267	0.9863031117140798	2.6123212216718543
0.78984861	0.0024935567	1	1	20000000	25	-1.0	1.5	32	0.3776015082727085	18.93522486257301	0.458200120071912	1.0898766686951826	2.0264424215449157
0.50635632	0.00019597938	1	1	20000000	25	-1.0	1.5	4	0.43440275998028705	12.829473146524718	0.39929178986141145	1.103874900158954	1.7845716095532067
0.59596113	0.00038553695	1	1	20000000	25	-1.0	1.5	6	0.43107838755434275	13.59402601555703	0.4270220151720209	1.0081089055706167	2.7129438085192072
0.64803828	0.00045537102	1	1	20000000	25	-1.0	1.5	8	0.779442453050849	3.392673344036165	0.43027684817888395	1.021120351553344	3.2600172550901556
393.53794	0.052713135	1	1	20000000	25	-1	10	15	0.9779487999999994	1.530792	0.28414400000000006	1.3459263999999997	-5.3759999999999994e-05
531.43259	0.099316872	1	1	20000000	25	-1	10	20	1.97213	12.2953	0.2059526	1.3246	0.0
742.28372	0.23136765	1	1	20000000	25	-1	10	30	2.510100292862176	2.1477733025512995	0.2378670139642563	1.80210760993824	-6.215943561020112e-05
843.87881	0.074053431	1	1	20000000	25	-1	15	15	1.72192	5.14455	0.219283	0.7923106	0.0
1245.2827	0.1362734	1	1	20000000	25	-1	15	20	0.8263247	12.9178	0.7182995	1.73895	0.0
0.015245252	2.0180904e-06	1	1	20000000	25	-1	1	0.5	1.7479206911418554	-0.0005497926699176107	0.2568211381275618	1.6058518316644455	0.7980983054842659
0.036431435	5.1773316e-06	1	1	20000000	25	-1	1	1	1.6275718369788006	-0.00037216849575784496	0.45334201258366913	1.422732371868906	1.1747107576474574
0.10199752	0.00015006424	1	1	20000000	25	-1	1	10	1.410112663274556	0.5161943599129245	0.5941294448706911	0.9794770893282443	0.06149771359382381
0.10425866	0.00015589711	1	1	20000000	25	-1	1	12	1.4787414928788611	0.5117485761977771	0.5927777353236126	1.011765322566672	0.05749989844864988
0.10613823	0.00025694125	1	1	20000000	25	-1	1	14	1.4931281585254075	0.08683114117529499	0.5979951749016771	0.9850546818878398	0.06390945742578175
0.10680331	0.00024465289	1	1	20000000	25	-1	1	15	1.4920273799965633	0.24052457730207483	0.6070565763309287	0.3819406002956657	0.00014396550574852988
0.10725028	0.00023171583	1	1	20000000	25	-1.0	1	16	0.5929603648059317	11.851687067943502	0.6263385950291976	1.0008110524986444	1.8208248571624432
0.062987229	3.3328191e-05	1	1	20000000	25	-1.0	1	2	0.5851455790501449	10.448133864820493	0.5117350069430915	1.0704458745698382	2.291377563795419
0.10922563	0.00035234406	1	1	20000000	25	-1	1	20	1.4211100536697074	0.5495469112127577	0.5899295183917719	1.0198687403200275	0.058551284697102114
0.1098488	0.00035070394	1	5	20000000	25	-1	1	22	0.5528056806470549	13.620225766249508	0.6288387211376669	1.0990973897808736	2.0310294883530364
0.11026429	0.00040660536	1	1	20000000	25	-1	1	25	1.4017965908737242	0.5014078239799551	0.5950817822125922	1.0620445424244065	0.06113865467788168
0.07673858	3.979317e-05	1	1	20000000	25	-1	1	3	1.3770764151325086	0.3477424286456421	0.5433860208864583	-1.697175187515787	0.09575718493328311
0.11171707	0.00047084163	1	1	20000000	25	-1	1	30	1.4197954622523512	0.5129442471911374	0.6078218248331776	1.0210302984839896	0.00011962367471061525
0.11204215	0.00057970394	1	5	20000000	25	-1	1	32	0.6273527449360005	11.258536081070122	0.6104219653352403	1.0493947951071703	2.3251398759484943
0.11148185	0.00054794754	1	1	20000000	25	-1	1	35	1.5276681114102653	0.08512362787046596	0.6182993542109555	0.9421682831745413	0.06310664232144238
0.084854963	6.4478807e-05	1	1	20000000	25	-1.0	1	4	0.5305653546143787	13.784909390498639	0.5514549848336552	1.0043177402507757	2.461072759223229
0.094060183	9.6337789e-05	1	1	20000000	25	-1.0	1	6	0.5637449105046811	12.96658016004753	0.575837740753796	0.9956980416052021	2.2372810985687837
0.098967138	0.00013172296	1	1	20000000	25	-1.0	1	8	0.605303456407232	11.009436204784706	0.5937265879469069	1.006020407111523	2.200146484215078
0.10069771	0.00012248322	1	1	20000000	25	-1	1	9	1.484845154697618	0.08758920775288259	0.5851609582181354	1.0048068989232748	0.05694896803462418
6.1126827	0.004377126	1	1	20000000	25	-1	2.5	15	0.5651833400880389	3.6543003087569756	0.30362172993562125	0.9890968465153048	0.0005116745957978769
6.5524258	0.0061608238	1	1	20000000	25	-1	2.5	20	0.5353007227823117	4.02990239174498	0.30494294778582665	1.1804046036855442	0.0007557585754817458
1326.5586	0.099092969	1	1	20000000	25	-1	20	15	1.79536	9.72811	0.5825452	1.42044	0.0
2062.6271	0.16684349	1	1	20000000	25	-1	20	20	1.68262	2.81898	0.7614354	1.73232	0.0
3550.041	0.4450633	1	1	20000000	25	-1	20	30	1.48232	12.7891	0.5725942	0.9944028	0.0
2.5044224	0.0018487311	1	1	20000000	25	-1	2	15	0.7914254595647938	1.5569873828329073	0.36285112700326594	1.3453717630014748	0.00016380879759929942
2.6448424	0.0033360557	1	1	20000000	25	-1	2	20	0.8919979200343322	0.7465477554942779	0.3708870077773822	0.92570888701295	-5.760375633518632e-05
2.7816315	0.00526516	1	1	20000000	25	-1	2	30	0.973241162221823	0.11358556801149573	0.3827940639164932	0.9587253478808111	-0.00016053528978003892
2297.8777	0.13330003	1	1	20000000	25	-1	30	15	1.01732	0.5195104	0.4772801	0.8526582	0.0
3786.7171	0.24362487	1	1	20000000	25	-1	30	20	1.2345	8.54664	0.5089804	0.6292018	0.0
12.131435	0.0069236832	1	1	20000000	25	-1	3	15	0.7199154584391593	0.2826712539723737	0.2563445714367322	1.055091724459412	0.0006576121580234508
13.274947	0.009085629	1	1	20000000	25	-1	3	20	0.5332911362609942	2.7177319394905073	0.2692412963407307	0.9885216991872267	0.00026527673100443
14.588483	0.015230402	1	1	20000000	25	-1	3	30	0.759017240411854	0.589105910175844	0.2689358940337351	1.2018843460602078	-0.00013754929155216283
59.182523	0.020589593	1	1	20000000	25	-1	4.8	15	0.5231579918448287	0.7663855829820541	0.1462601347658231	2.4349102164330576	0.0026356359417569674
69.318652	0.028100468	1	1	20000000	25	-1	4.8	20	0.21094315046520923	13.786527738087177	0.17090979847279783	1.138703489697062	0.0019359703246365598
82.458753	0.044204931	1	1	20000000	25	-1	4.8	30	0.2713042813133233	10.351812579653432	0.1713653772943752	1.9744736633644524	-0.00042621629741210643
33.058624	0.011704874	1	1	20000000	25	-1	4	15	0.5945951052084817	0.8466710649728482	0.19410425329246905	1.1194928459439368	0.0006513211958695108
37.607198	0.01510284	1	1	20000000	25	-1	4	20	0.5872845538557803	0.22143496194798926	0.20786357878357115	1.0707923846874872	0.000464908859723104
43.170261	0.028519536	1	1	20000000	25	-1	4	30	0.4355414977166535	1.7940085307260383	0.21093469471123188	1.4616493189984008	-0.0003180745895694934
75.393191	0.02191838	1	1	20000000	25	-1	5.2	15	0.317238390326841	4.950065539775667	0.1411640299891201	1.1599959005538107	0.002612363445492253
89.533746	0.030189575	1	1	20000000	25	-1	5.2	20	0.5147205067369738	0.2988449351812459	0.15225650407851982	1.0482346521080474	0.0020487219310680394
108.4017	0.053647662	1	1	20000000	25	-1	5.2	30	0.3767947501039923	2.1330163805119216	0.16466705782695318	1.751069881241988	0.0032067716018467363
80.641266	0.019160805	1	1	20000000	25	-1	5.5	15	1.3401194440217132	11.744066913497576	0.10658546024921134	2.0648453542284804	0.0008658314495999998
106.65597	0.042158661	1	1	20000000	25	-1	5.5	20	0.28056919696283456	7.793835086961547	0.1418231422193354	1.4383437353312354	9.203955992233414e-05
130.75722	0.068945843	1	1	20000000	25	-1	5.5	30	0.16380078935201164	19.369329834768337	0.15899405828604787	2.017232197287136	0.001019688299260892
67.037228	0.019737296	1	1	20000000	25	-1	5	15	0.41025761918660797	2.2612183579027088	0.14434529438637167	1.114831211357825	0.0002012844228702555
79.05629	0.031194059	1	1	20000000	25	-1	5	20	0.39234813434414384	2.6479964691873428	0.16000957287735332	1.1258235353955413	0.0014542758912737103
94.929344	0.037784328	1	1	20000000	25	-1	5	30	0.42741284284414005	1.4071315601465835	0.17168433471660005	1.4377158029637818	0.002808686638251872
136.64373	0.030588304	1	1	20000000	25	-1	6.5	15	1.30828	13.4785	0.2955815	0.9244299	0.0
159.61974	0.048536296	1	1	20000000	25	-1	6.5	20	1.8710963591440526	14.51871152321403	0.2479824883636322	1.227048296367942	3.060842320141536e-05
113.66611	0.029130483	1	1	20000000	25	-1	6	15	0.46383259876145944	0.948336703586274	0.10493922811531273	1.4146042021708218	0.0018167399640721979
138.78549	0.051589224	1	1	20000000	25	-1	6	20	0.46637097429026975	0.15583200837288955	0.12441478038163045	1.2025968342155604	0.0013531103320259682
308.36618	0.076449801	1	1	20000000	25	-1	8	20	0.3676335736590717	2.0289560920251457	0.07811899425748114	1.7530441980649303	0.0013250756521447065
415.90856	0.14852972	1	1	20000000	25	-1	8	30	0.38911277707844827	0.5133520378249856	0.09961163712959809	2.948061701666695	-0.0003218464484393439
0.012751533	8.7709762e-05	1	1	10000000	25	-2.0	1	16	0.8581450613304504	11.424584026474594	0.8403820630564841	0.9632839617438173	1.7846619359758797
0.013036073	0.0001173511	1	1	10000000	25	-2.0	1	22	0.7926716370463919	12.999880887002352	0.9036283366790034	0.8800888753510607	1.6011730565747881
